lambda,policy_key,base_policy,capacity,p99_latency_ms,avg_latency_ms,throughput_req_s,avg_quality
3.666666666666667e-05,smart_c4,smart,4,76377.47997438205,53193.03385374587,0.035777777777777776,31.27957773844401
3.666666666666667e-05,sjf_c1,sjf,1,179581.03729936868,41693.95873852231,0.03422222222222222,30.809436332570527
3.666666666666667e-05,sjf_c2,sjf,2,68391.55357955486,19282.93863994346,0.034,30.78729838826298
3.666666666666667e-05,sjf_c4,sjf,4,53034.714612960815,16813.73782464064,0.04066666666666666,30.762794037699045
4.1111111111111116e-05,high_c1,high,1,2714547.8546840977,1505487.4259253533,0.01911111111111111,31.279577738444008
4.1111111111111116e-05,high_c2,high,2,275968.6002639856,107748.10165282985,0.034,31.279577738444015
4.1111111111111116e-05,high_c4,high,4,91117.0370868752,58026.743522828256,0.046,31.279577738444008
4.1111111111111116e-05,fast_c1,fast,1,205598.97640999933,88392.50756236167,0.04088888888888889,31.307256380716968
4.1111111111111116e-05,fast_c2,fast,2,53145.83319970586,25729.74303476237,0.046,31.30725638071696
4.1111111111111116e-05,fast_c4,fast,4,22699.387216567993,22058.741880076064,0.043555555555555556,31.30725638071696
4.1111111111111116e-05,smart_c1,smart,1,328027.7244613108,215254.57641531888,0.034888888888888886,31.30302525068797
4.1111111111111116e-05,smart_c2,smart,2,205689.68441000482,121517.28609608384,0.04066666666666666,31.283963971372515
4.1111111111111116e-05,smart_c4,smart,4,87849.40982145295,56617.73936340089,0.04088888888888889,31.279577738444008
4.1111111111111116e-05,sjf_c1,sjf,1,530387.1750200539,51336.79916863264,0.041555555555555554,30.778603771570108
4.1111111111111116e-05,sjf_c2,sjf,2,60870.18011018652,20346.084474828822,0.04088888888888889,30.81934876124064
4.1111111111111116e-05,sjf_c4,sjf,4,53079.34747695923,19041.761672858036,0.03666666666666667,30.848517192493784
4.555555555555556e-05,high_c1,high,1,3038108.12738468,1596363.4267058747,0.01911111111111111,31.279577738444008
4.555555555555556e-05,high_c2,high,2,951403.88526188,517869.06943511934,0.03755555555555556,31.27957773844401
4.555555555555556e-05,high_c4,high,4,117752.55289270855,61585.96802284872,0.04933333333333333,31.279577738444008
4.555555555555556e-05,fast_c1,fast,1,274376.23858664685,122800.67645581282,0.041555555555555554,31.30725638071696
4.555555555555556e-05,fast_c2,fast,2,59660.39470024735,25254.668849108046,0.04,31.30725638071696
4.555555555555556e-05,fast_c4,fast,4,24181.657554904465,22151.842730119875,0.04844444444444444,31.30725638071696
4.555555555555556e-05,smart_c1,smart,1,609229.5687105149,434458.31134190375,0.043333333333333335,31.30725638071696
4.555555555555556e-05,smart_c2,smart,2,200399.8239487691,134271.66815216801,0.043333333333333335,31.28795230200352
4.555555555555556e-05,smart_c4,smart,4,77660.95361017037,53809.61295619487,0.043555555555555556,31.279577738444008
4.555555555555556e-05,sjf_c1,sjf,1,309860.8188086947,48050.603373032856,0.04488888888888889,30.808096186319986
4.555555555555556e-05,sjf_c2,sjf,2,67871.52404757145,21491.350038335586,0.04577777777777778,30.797968054527605
4.555555555555556e-05,sjf_c4,sjf,4,53122.63687610626,17337.614260924358,0.042666666666666665,30.78281905750434
5e-05,high_c1,high,1,2806568.522995922,1550572.5823333613,0.01911111111111111,31.279577738444008
5e-05,high_c2,high,2,1102097.7521658267,748067.7231099424,0.038,31.279577738444008
5e-05,high_c4,high,4,111994.61191116156,60887.582574882355,0.052,31.279577738444008
5e-05,fast_c1,fast,1,730935.331371191,385398.07007957343,0.044222222222222225,31.307256380716957
5e-05,fast_c2,fast,2,40516.759606083746,23555.317868313985,0.043333333333333335,31.30725638071696
5e-05,fast_c4,fast,4,23053.16197053915,22100.59791476189,0.054,31.307256380716968
5e-05,smart_c1,smart,1,567414.0925208889,465234.79435738217,0.043333333333333335,31.30725638071696
5e-05,smart_c2,smart,2,201817.2257426994,137103.66304001276,0.049555555555555554,31.29174144670746
5e-05,smart_c4,smart,4,96911.67539248036,55450.30058534377,0.04488888888888889,31.279577738444008
5e-05,sjf_c1,sjf,1,379027.8075367939,48970.45936174578,0.051333333333333335,30.762775852649245
5e-05,sjf_c2,sjf,2,96641.21957012595,25233.79756319976,0.05333333333333334,30.80275860134761
5e-05,sjf_c4,sjf,4,53118.744683265686,17717.795834586483,0.051333333333333335,30.79271942006561
